Year,Division,Indicator,Description,Number of Students Missing 10% or More of the Days Enrolled,Number of Students Enrolled for Half the Year or More,Chronic Absenteeism Rate,
2019,Virginia Beach City Public Schools,Bayside High,Chronic Absenteeism,2018 - 2019,309,1899,16.27
2019,Virginia Beach City Public Schools,Bayside Middle,Chronic Absenteeism,2018 - 2019,112,756,14.81
2019,Virginia Beach City Public Schools,Birdneck Elementary,Chronic Absenteeism,2018 - 2019,79,567,13.93
2019,Virginia Beach City Public Schools,Brandon Middle,Chronic Absenteeism,2018 - 2019,88,1247,7.06
2019,Virginia Beach City Public Schools,Brookwood Elementary,Chronic Absenteeism,2018 - 2019,54,628,8.6
2019,Virginia Beach City Public Schools,Centerville Elementary,Chronic Absenteeism,2018 - 2019,32,667,4.8
2019,Virginia Beach City Public Schools,Christopher Farms Elementary,Chronic Absenteeism,2018 - 2019,36,663,5.43
2019,Virginia Beach City Public Schools,College Park Elementary,Chronic Absenteeism,2018 - 2019,52,495,10.51
2019,Virginia Beach City Public Schools,Corporate Landing Elementary,Chronic Absenteeism,2018 - 2019,27,409,6.6
2019,Virginia Beach City Public Schools,Corporate Landing Middle,Chronic Absenteeism,2018 - 2019,140,1212,11.55
2019,Virginia Beach City Public Schools,Creeds Elementary,Chronic Absenteeism,2018 - 2019,17,336,5.06
2019,Virginia Beach City Public Schools,Diamond Springs Elementary,Chronic Absenteeism,2018 - 2019,81,492,16.46
2019,Virginia Beach City Public Schools,Fairfield Elementary,Chronic Absenteeism,2018 - 2019,33,555,5.95
2019,Virginia Beach City Public Schools,First Colonial High,Chronic Absenteeism,2018 - 2019,332,1849,17.96
2019,Virginia Beach City Public Schools,Floyd Kellam High,Chronic Absenteeism,2018 - 2019,188,1955,9.62
2019,Virginia Beach City Public Schools,Frank W. Cox High,Chronic Absenteeism,2018 - 2019,240,1784,13.45
2019,Virginia Beach City Public Schools,Glenwood Elementary,Chronic Absenteeism,2018 - 2019,52,940,5.53
2019,Virginia Beach City Public Schools,Great Neck Middle,Chronic Absenteeism,2018 - 2019,82,1152,7.12
2019,Virginia Beach City Public Schools,Green Run Collegiate,Chronic Absenteeism,2018 - 2019,49,353,13.88
2019,Virginia Beach City Public Schools,Green Run Elementary,Chronic Absenteeism,2018 - 2019,26,349,7.45
2019,Virginia Beach City Public Schools,Green Run High,Chronic Absenteeism,2018 - 2019,197,1370,14.38
2019,Virginia Beach City Public Schools,Hermitage Elementary,Chronic Absenteeism,2018 - 2019,40,646,6.19
2019,Virginia Beach City Public Schools,Holland Elementary,Chronic Absenteeism,2018 - 2019,59,562,10.5
2019,Virginia Beach City Public Schools,Independence Middle,Chronic Absenteeism,2018 - 2019,120,1299,9.24
2019,Virginia Beach City Public Schools,Indian Lakes Elementary,Chronic Absenteeism,2018 - 2019,57,600,9.5
2019,Virginia Beach City Public Schools,John B. Dey Elementary,Chronic Absenteeism,2018 - 2019,44,798,5.51
2019,Virginia Beach City Public Schools,Kempsville Elementary,Chronic Absenteeism,2018 - 2019,36,457,7.88
2019,Virginia Beach City Public Schools,Kempsville High,Chronic Absenteeism,2018 - 2019,241,1666,14.47
2019,Virginia Beach City Public Schools,Kempsville Meadows Elementary,Chronic Absenteeism,2018 - 2019,34,437,7.78
2019,Virginia Beach City Public Schools,Kempsville Middle,Chronic Absenteeism,2018 - 2019,57,769,7.41
2019,Virginia Beach City Public Schools,King's Grant Elementary,Chronic Absenteeism,2018 - 2019,60,553,10.85
2019,Virginia Beach City Public Schools,Kingston Elementary,Chronic Absenteeism,2018 - 2019,17,537,3.17
2019,Virginia Beach City Public Schools,Landstown Elementary,Chronic Absenteeism,2018 - 2019,53,777,6.82
2019,Virginia Beach City Public Schools,Landstown High,Chronic Absenteeism,2018 - 2019,245,2209,11.09
2019,Virginia Beach City Public Schools,Landstown Middle,Chronic Absenteeism,2018 - 2019,116,1415,8.2
2019,Virginia Beach City Public Schools,Larkspur Middle,Chronic Absenteeism,2018 - 2019,179,1557,11.5
2019,Virginia Beach City Public Schools,Linkhorn Park Elementary,Chronic Absenteeism,2018 - 2019,39,549,7.1
2019,Virginia Beach City Public Schools,Luxford Elementary,Chronic Absenteeism,2018 - 2019,49,500,9.8
2019,Virginia Beach City Public Schools,Lynnhaven Elementary,Chronic Absenteeism,2018 - 2019,42,372,11.29
2019,Virginia Beach City Public Schools,Lynnhaven Middle,Chronic Absenteeism,2018 - 2019,85,911,9.33
2019,Virginia Beach City Public Schools,Malibu Elementary,Chronic Absenteeism,2018 - 2019,21,383,5.48
2019,Virginia Beach City Public Schools,New Castle Elementary,Chronic Absenteeism,2018 - 2019,25,745,3.36
2019,Virginia Beach City Public Schools,Newtown Elementary,Chronic Absenteeism,2018 - 2019,52,500,10.4
2019,Virginia Beach City Public Schools,North Landing Elementary,Chronic Absenteeism,2018 - 2019,23,448,5.13
2019,Virginia Beach City Public Schools,Ocean Lakes Elementary,Chronic Absenteeism,2018 - 2019,48,564,8.51
2019,Virginia Beach City Public Schools,Ocean Lakes High,Chronic Absenteeism,2018 - 2019,215,2038,10.55
2019,Virginia Beach City Public Schools,Old Donation School,Chronic Absenteeism,2018 - 2019,15,1236,1.21
2019,Virginia Beach City Public Schools,Parkway Elementary,Chronic Absenteeism,2018 - 2019,38,437,8.7
2019,Virginia Beach City Public Schools,Pembroke Elementary,Chronic Absenteeism,2018 - 2019,57,488,11.68
2019,Virginia Beach City Public Schools,Pembroke Meadows Elementary,Chronic Absenteeism,2018 - 2019,27,524,5.15
2019,Virginia Beach City Public Schools,Plaza Middle,Chronic Absenteeism,2018 - 2019,111,1107,10.03
2019,Virginia Beach City Public Schools,Point O' View Elementary,Chronic Absenteeism,2018 - 2019,83,718,11.56
2019,Virginia Beach City Public Schools,Princess Anne Elementary,Chronic Absenteeism,2018 - 2019,33,633,5.21
2019,Virginia Beach City Public Schools,Princess Anne High,Chronic Absenteeism,2018 - 2019,210,1773,11.84
2019,Virginia Beach City Public Schools,Princess Anne Middle,Chronic Absenteeism,2018 - 2019,61,1447,4.22
2019,Virginia Beach City Public Schools,Providence Elementary,Chronic Absenteeism,2018 - 2019,31,539,5.75
2019,Virginia Beach City Public Schools,Red Mill Elementary,Chronic Absenteeism,2018 - 2019,25,643,3.89
2019,Virginia Beach City Public Schools,Rosemont Elementary,Chronic Absenteeism,2018 - 2019,25,401,6.23
2019,Virginia Beach City Public Schools,Rosemont Forest Elementary,Chronic Absenteeism,2018 - 2019,21,500,4.2
2019,Virginia Beach City Public Schools,Salem Elementary,Chronic Absenteeism,2018 - 2019,27,479,5.64
2019,Virginia Beach City Public Schools,Salem High,Chronic Absenteeism,2018 - 2019,163,1732,9.41
2019,Virginia Beach City Public Schools,Salem Middle,Chronic Absenteeism,2018 - 2019,74,1058,6.99
2019,Virginia Beach City Public Schools,Seatack Elementary an Achievable Dream Academy,Chronic Absenteeism,2018 - 2019,58,371,15.63
2019,Virginia Beach City Public Schools,Shelton Park Elementary,Chronic Absenteeism,2018 - 2019,30,354,8.47
2019,Virginia Beach City Public Schools,Strawbridge Elementary,Chronic Absenteeism,2018 - 2019,31,648,4.78
2019,Virginia Beach City Public Schools,Tallwood Elementary,Chronic Absenteeism,2018 - 2019,30,578,5.19
2019,Virginia Beach City Public Schools,Tallwood High,Chronic Absenteeism,2018 - 2019,192,1880,10.21
2019,Virginia Beach City Public Schools,Thalia Elementary,Chronic Absenteeism,2018 - 2019,79,581,13.6
2019,Virginia Beach City Public Schools,Thoroughgood Elementary,Chronic Absenteeism,2018 - 2019,27,616,4.38
2019,Virginia Beach City Public Schools,Three Oaks Elementary,Chronic Absenteeism,2018 - 2019,41,725,5.66
2019,Virginia Beach City Public Schools,Trantwood Elementary,Chronic Absenteeism,2018 - 2019,16,455,3.52
2019,Virginia Beach City Public Schools,Virginia Beach Middle,Chronic Absenteeism,2018 - 2019,110,829,13.27
2019,Virginia Beach City Public Schools,W.T. Cooke Elementary,Chronic Absenteeism,2018 - 2019,53,503,10.54
2019,Virginia Beach City Public Schools,White Oaks Elementary,Chronic Absenteeism,2018 - 2019,50,595,8.4
2019,Virginia Beach City Public Schools,Williams Elementary,Chronic Absenteeism,2018 - 2019,50,527,9.49
2019,Virginia Beach City Public Schools,Windsor Oaks Elementary,Chronic Absenteeism,2018 - 2019,57,581,9.81
2019,Virginia Beach City Public Schools,Windsor Woods Elementary,Chronic Absenteeism,2018 - 2019,21,342,6.14
2019,Virginia Beach City Public Schools,Woodstock Elementary,Chronic Absenteeism,2018 - 2019,56,714,7.84
2019,Warren County Public Schools,A.S. Rhodes Elementary,Chronic Absenteeism,2018 - 2019,27,265,10.19
2019,Warren County Public Schools,E. Wilson Morrison Elementary,Chronic Absenteeism,2018 - 2019,64,442,14.48
2019,Warren County Public Schools,Hilda J. Barbour Elementary,Chronic Absenteeism,2018 - 2019,55,476,11.55
2019,Warren County Public Schools,Leslie Fox Keyser Elementary,Chronic Absenteeism,2018 - 2019,75,518,14.48
2019,Warren County Public Schools,Ressie Jeffries Elementary,Chronic Absenteeism,2018 - 2019,74,539,13.73
2019,Warren County Public Schools,Skyline High,Chronic Absenteeism,2018 - 2019,250,858,29.14
2019,Warren County Public Schools,Skyline Middle School,Chronic Absenteeism,2018 - 2019,145,664,21.84
2019,Warren County Public Schools,Warren County High,Chronic Absenteeism,2018 - 2019,185,807,22.92
2019,Warren County Public Schools,Warren County Middle School,Chronic Absenteeism,2018 - 2019,87,599,14.52
2019,Washington County Public Schools,Abingdon Elementary,Chronic Absenteeism,2018 - 2019,30,441,6.8
2019,Washington County Public Schools,Abingdon High,Chronic Absenteeism,2018 - 2019,119,855,13.92
2019,Washington County Public Schools,Damascus Middle,Chronic Absenteeism,2018 - 2019,33,212,15.57
2019,Washington County Public Schools,E.B. Stanley Middle,Chronic Absenteeism,2018 - 2019,86,632,13.61
2019,Washington County Public Schools,Glade Spring Middle,Chronic Absenteeism,2018 - 2019,43,296,14.53
2019,Washington County Public Schools,Greendale Elementary,Chronic Absenteeism,2018 - 2019,30,267,11.24
2019,Washington County Public Schools,High Point Elementary,Chronic Absenteeism,2018 - 2019,51,552,9.24
2019,Washington County Public Schools,Holston High,Chronic Absenteeism,2018 - 2019,37,275,13.45
2019,Washington County Public Schools,John S. Battle High,Chronic Absenteeism,2018 - 2019,72,598,12.04
2019,Washington County Public Schools,Meadowview Elementary,Chronic Absenteeism,2018 - 2019,100,545,18.35
2019,Washington County Public Schools,Patrick Henry High,Chronic Absenteeism,2018 - 2019,79,411,19.22
2019,Washington County Public Schools,Rhea Valley Elementary,Chronic Absenteeism,2018 - 2019,45,351,12.82
2019,Washington County Public Schools,Valley Institute Elementary,Chronic Absenteeism,2018 - 2019,20,286,6.99
2019,Washington County Public Schools,Wallace Middle,Chronic Absenteeism,2018 - 2019,72,464,15.52
2019,Washington County Public Schools,Watauga Elementary,Chronic Absenteeism,2018 - 2019,44,525,8.38
2019,Waynesboro City Public Schools,Berkeley Glenn Elementary,Chronic Absenteeism,2018 - 2019,23,265,8.68
2019,Waynesboro City Public Schools,Kate Collins Middle,Chronic Absenteeism,2018 - 2019,87,686,12.68
2019,Waynesboro City Public Schools,Waynesboro High,Chronic Absenteeism,2018 - 2019,117,841,13.91
2019,Waynesboro City Public Schools,Wenonah Elementary,Chronic Absenteeism,2018 - 2019,38,256,14.84
2019,Waynesboro City Public Schools,Westwood Hills Elementary,Chronic Absenteeism,2018 - 2019,36,444,8.11
2019,Waynesboro City Public Schools,William Perry Elementary,Chronic Absenteeism,2018 - 2019,53,427,12.41
2019,West Point Public Schools,West Point Elementary,Chronic Absenteeism,2018 - 2019,25,339,7.37
2019,West Point Public Schools,West Point Middle/High,Chronic Absenteeism,2018 - 2019,27,267,10.11
2019,Westmoreland County Public Schools,Cople Elementary,Chronic Absenteeism,2018 - 2019,51,347,14.7
2019,Westmoreland County Public Schools,Montross Middle,Chronic Absenteeism,2018 - 2019,55,369,14.91
2019,Westmoreland County Public Schools,Washington & Lee High,Chronic Absenteeism,2018 - 2019,109,472,23.09
2019,Westmoreland County Public Schools,Washington District Elementary,Chronic Absenteeism,2018 - 2019,21,355,5.92
2019,Williamsburg-James City County Public Schools,Berkeley Middle,Chronic Absenteeism,2018 - 2019,83,602,13.79
2019,Williamsburg-James City County Public Schools,Clara Byrd Baker Elementary,Chronic Absenteeism,2018 - 2019,41,516,7.95
2019,Williamsburg-James City County Public Schools,D.J. Montague Elementary,Chronic Absenteeism,2018 - 2019,38,503,7.55
2019,Williamsburg-James City County Public Schools,J. Blaine Blayton Elementary,Chronic Absenteeism,2018 - 2019,37,483,7.66
2019,Williamsburg-James City County Public Schools,James Blair Middle,Chronic Absenteeism,2018 - 2019,79,540,14.63
2019,Williamsburg-James City County Public Schools,James River Elementary,Chronic Absenteeism,2018 - 2019,53,450,11.78
2019,Williamsburg-James City County Public Schools,Jamestown High,Chronic Absenteeism,2018 - 2019,150,1301,11.53
2019,Williamsburg-James City County Public Schools,Lafayette High,Chronic Absenteeism,2018 - 2019,153,1114,13.73
2019,Williamsburg-James City County Public Schools,Laurel Lane Elementary,Chronic Absenteeism,2018 - 2019,35,444,7.88
2019,Williamsburg-James City County Public Schools,Lois Hornsby Middle,Chronic Absenteeism,2018 - 2019,78,788,9.9
2019,Williamsburg-James City County Public Schools,Matoaka Elementary,Chronic Absenteeism,2018 - 2019,51,739,6.9
2019,Williamsburg-James City County Public Schools,Matthew Whaley Elementary,Chronic Absenteeism,2018 - 2019,57,527,10.82
2019,Williamsburg-James City County Public Schools,Norge Elementary,Chronic Absenteeism,2018 - 2019,60,579,10.36
2019,Williamsburg-James City County Public Schools,Stonehouse Elementary,Chronic Absenteeism,2018 - 2019,37,740,5
2019,Williamsburg-James City County Public Schools,Toano Middle,Chronic Absenteeism,2018 - 2019,96,707,13.58
2019,Williamsburg-James City County Public Schools,Warhill High,Chronic Absenteeism,2018 - 2019,187,1365,13.7
2019,Winchester City Public Schools,Daniel Morgan Intermediate School,Chronic Absenteeism,2018 - 2019,86,689,12.48
2019,Winchester City Public Schools,Daniel Morgan Middle School,Chronic Absenteeism,2018 - 2019,102,647,15.77
2019,Winchester City Public Schools,Frederick Douglass Elementary,Chronic Absenteeism,2018 - 2019,31,317,9.78
2019,Winchester City Public Schools,Garland R. Quarles Elementary,Chronic Absenteeism,2018 - 2019,32,356,8.99
2019,Winchester City Public Schools,John Handley High School,Chronic Absenteeism,2018 - 2019,305,1272,23.98
2019,Winchester City Public Schools,John Kerr Elementary,Chronic Absenteeism,2018 - 2019,67,486,13.79
2019,Winchester City Public Schools,Virginia Avenue Charlotte Dehart Elementary ,Chronic Absenteeism,2018 - 2019,52,386,13.47
2019,Wise County Public Schools,Central High,Chronic Absenteeism,2018 - 2019,93,608,15.3
2019,Wise County Public Schools,Coeburn Middle,Chronic Absenteeism,2018 - 2019,43,347,12.39
2019,Wise County Public Schools,Coeburn Primary,Chronic Absenteeism,2018 - 2019,59,392,15.05
2019,Wise County Public Schools,Eastside High,Chronic Absenteeism,2018 - 2019,74,397,18.64
2019,Wise County Public Schools,J.W. Adams Combined,Chronic Absenteeism,2018 - 2019,50,427,11.71
2019,Wise County Public Schools,L.F. Addington Middle,Chronic Absenteeism,2018 - 2019,49,480,10.21
2019,Wise County Public Schools,St. Paul Elementary,Chronic Absenteeism,2018 - 2019,32,242,13.22
2019,Wise County Public Schools,Union High,Chronic Absenteeism,2018 - 2019,124,567,21.87
2019,Wise County Public Schools,Union Middle,Chronic Absenteeism,2018 - 2019,90,602,14.95
2019,Wise County Public Schools,Union Primary School,Chronic Absenteeism,2018 - 2019,125,695,17.99
2019,Wise County Public Schools,Wise Primary,Chronic Absenteeism,2018 - 2019,66,587,11.24
2019,Wythe County Public Schools,Fort Chiswell High,Chronic Absenteeism,2018 - 2019,70,470,14.89
2019,Wythe County Public Schools,Fort Chiswell Middle,Chronic Absenteeism,2018 - 2019,29,335,8.66
2019,Wythe County Public Schools,George Wythe High,Chronic Absenteeism,2018 - 2019,56,385,14.55
2019,Wythe County Public Schools,Jackson Memorial Elementary,Chronic Absenteeism,2018 - 2019,28,196,14.29
2019,Wythe County Public Schools,Max Meadows Elementary,Chronic Absenteeism,2018 - 2019,14,195,7.18
2019,Wythe County Public Schools,Rural Retreat Elementary,Chronic Absenteeism,2018 - 2019,29,350,8.29
2019,Wythe County Public Schools,Rural Retreat High,Chronic Absenteeism,2018 - 2019,56,343,16.33
2019,Wythe County Public Schools,Rural Retreat Middle,Chronic Absenteeism,2018 - 2019,14,236,5.93
2019,Wythe County Public Schools,Scott Memorial Middle,Chronic Absenteeism,2018 - 2019,41,379,10.82
2019,Wythe County Public Schools,Sheffey Elementary,Chronic Absenteeism,2018 - 2019,23,241,9.54
2019,Wythe County Public Schools,Speedwell Elementary,Chronic Absenteeism,2018 - 2019,9,138,6.52
2019,Wythe County Public Schools,Spiller Elementary,Chronic Absenteeism,2018 - 2019,52,599,8.68
2019,York County Public Schools,Bethel Manor Elementary,Chronic Absenteeism,2018 - 2019,26,649,4.01
2019,York County Public Schools,Bruton High,Chronic Absenteeism,2018 - 2019,50,545,9.17
2019,York County Public Schools,Coventry Elementary,Chronic Absenteeism,2018 - 2019,31,689,4.5
2019,York County Public Schools,Dare Elementary,Chronic Absenteeism,2018 - 2019,15,416,3.61
2019,York County Public Schools,Grafton Bethel Elementary,Chronic Absenteeism,2018 - 2019,40,624,6.41
2019,York County Public Schools,Grafton High,Chronic Absenteeism,2018 - 2019,98,1152,8.51
2019,York County Public Schools,Grafton Middle,Chronic Absenteeism,2018 - 2019,44,935,4.71
